manufactor,Year,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Price,Km,model,Supply_score
טויוטה,2014,1,אוטומטית,1600.0,בנזין,חדש,פרטית,52000.0,160000.0,COROLLA,12436
שברולט,1988,2,אוטומטית,6500.0,דיזל,פרטית,פרטית,24000.0,250000.0,UPLANDER,0
סובארו,2015,3,אוטומטית,2000.0,בנזין,פרטית,פרטית,38500.0,141000.0,SVX,0
אאודי,2014,3,אוטומטית,1400.0,בנזין,פרטית,פרטית,55000.0,130000.0,A1,248
סוזוקי,2021,1,אוטומטית,1200.0,היברידי,חדש,פרטית,82000.0,44000.0,IGNIS,1678
יונדאי,2015,3,אוטומטית,1000.0,בנזין,פרטית,פרטית,38500.0,115000.0,I10,7163
קיה,2014,3,אוטומטית,1600.0,בנזין,השכרה,פרטית,24000.0,180174.0,FORTE,3045
מיצובישי,2021,1,אוטומטית,1200.0,בנזין,חדש,פרטית,76000.0,25800.0,SPACE STAR,2309
לקסוס,2014,3,אוטומטית,2500.0,היברידי,פרטית,פרטית,82000.0,219000.0,LEXUS IS300H,311
קיה,2014,3,אוטומטית,1200.0,בנזין,פרטית,פרטית,43000.0,130000.0,PICANTO,9755
קרייזלר,2012,3,אוטומטית,3600.0,בנזין,פרטית,פרטית,41000.0,162000.0,VOYAGER,0
מאזדה,2014,3,ידנית,1600.0,בנזין,פרטית,פרטית,50000.0,170000.0,MAZDA 3,6896
סיטרואן,2019,2,אוטומטית,1199.0,בנזין,פרטית,פרטית,88000.0,32000.0,C4,0
פיג'ו,2014,3,אוטומטית,1600.0,בנזין,פרטית,פרטית,33000.0,148000.0,2008,590
קיה,2018,2,אוטומטית,1000.0,בנזין,פרטית,פרטית,73000.0,100000.0,STONIC,1061
פולקסווגן,2011,3,אוטומטית,1200.0,בנזין,פרטית,פרטית,45000.0,62000.0,POLO,2021
וולוו,2016,2,טיפטרוניק,2000.0,בנזין,פרטית,פרטית,60000.0,110000.0,S60,0
יונדאי,2015,1,אוטומטית,1250.0,בנזין,חדש,פרטית,37000.0,180000.0,I10,7163
אאודי,2019,4,אוטומטית,4500.0,גז,פרטית,פרטית,65000.0,54000.0,RS5 COUPE,4
הונדה,2014,1,אוטומטית,1300.0,היברידי,חדש,פרטית,49500.0,120000.0,JAZZ,376
סוזוקי,2016,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,80500.0,119000.0,SX4,0
פולקסווגן,2012,2,אוטומטית,1400.0,בנזין,פרטית,פרטית,28000.0,200000.0,JETTA,1673
אאודי,2009,3,אוטומטית,2000.0,בנזין,פרטית,פרטית,40000.0,244000.0,A4,167
טויוטה,2018,1,אוטומטית,1600.0,בנזין,חדש,פרטית,74999.0,128000.0,COROLLA,5459
פורד,2013,2,אוטומטית,2200.0,בנזין,פרטית,פרטית,29000.0,133000.0,S MAX,295
קיה,2018,1,אוטומטית,1600.0,היברידי,חדש,פרטית,92000.0,88100.0,NIRO,7799
הונדה,2011,3,אוטומטית,1200.0,בנזין,ליסינג,פרטית,22000.0,270000.0,HONDA INSIGHT,0
שברולט,2016,2,אוטומטית,1399.0,בנזין,פרטית,פרטית,40000.0,108000.0,SPARK,4089
יונדאי,2012,3,אוטומטית,1200.0,בנזין,פרטית,פרטית,24000.0,146000.0,I10,2169
רנו,2013,2,אוטומטית,1200.0,בנזין,פרטית,פרטית,37000.0,78000.0,CLIO,631
סיטרואן,2016,3,אוטומטית,1600.0,דיזל,פרטית,פרטית,28000.0,260009.0,C4,360
מאזדה,2009,3,אוטומטית,1600.0,בנזין,פרטית,פרטית,19500.0,130000.0,MAZDA 3,14461
אאודי,2019,2,טיפטרוניק,1600.0,היברידי,חברה,חברה,95000.0,140000.0,ALLROAD,0
יונדאי,2011,2,אוטומטית,1100.0,בנזין,פרטית,פרטית,19850.0,121200.0,I10,3652
